,praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
praf,0.0,0.4540294411177638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pmek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plcg,0.0,0.0,0.0,0.0,0.08093300272416767,0.0,0.07266131035832629,0.0,0.0,0.0,0.0
PIP2,0.0,0.0,0.0,0.0,0.24895391848132314,0.0,0.0,0.0,0.0,0.0,0.0
PIP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p44/42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pakts473,0.0,0.0,0.0,0.0,0.0,0.696269973940835,0.0,0.0,0.0,0.0,0.0
PKA,0.0,0.0,0.0,0.0,0.0,0.0,0.37687574309079047,0.0,0.0,0.0,0.0
PKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612049749884599,-0.33859131895959443
P38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pjnk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
